Finished epoch: 34 | Recon Loss : 0.1797 | Codebook : 0.4648 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 35 | Recon Loss : 0.1797 | Codebook : 0.4665 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 36 | Recon Loss : 0.1797 | Codebook : 0.4760 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 37 | Recon Loss : 0.1797 | Codebook : 0.4732 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 38 | Recon Loss : 0.1797 | Codebook : 0.4717 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 39 | Recon Loss : 0.1797 | Codebook : 0.4654 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 40 | Recon Loss : 0.1797 | Codebook : 0.4553 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 41 | Recon Loss : 0.1797 | Codebook : 0.4556 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 42 | Recon Loss : 0.1796 | Codebook : 0.4568 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 43 | Recon Loss : 0.1796 | Codebook : 0.4593 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 44 | Recon Loss : 0.1796 | Codebook : 0.4478 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 45 | Recon Loss : 0.1796 | Codebook : 0.4593 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 46 | Recon Loss : 0.1796 | Codebook : 0.4689 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 47 | Recon Loss : 0.1796 | Codebook : 0.4601 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 48 | Recon Loss : 0.1796 | Codebook : 0.4490 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 49 | Recon Loss : 0.1796 | Codebook : 0.4496 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 50 | Recon Loss : 0.1796 | Codebook : 0.4564 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 51 | Recon Loss : 0.1796 | Codebook : 0.4536 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 52 | Recon Loss : 0.1796 | Codebook : 0.4617 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 53 | Recon Loss : 0.1796 | Codebook : 0.4669 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 54 | Recon Loss : 0.1795 | Codebook : 0.4594 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 55 | Recon Loss : 0.1796 | Codebook : 0.4514 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 56 | Recon Loss : 0.1795 | Codebook : 0.4382 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 57 | Recon Loss : 0.1795 | Codebook : 0.4235 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 58 | Recon Loss : 0.1795 | Codebook : 0.4221 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 59 | Recon Loss : 0.1795 | Codebook : 0.4139 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 60 | Recon Loss : 0.1795 | Codebook : 0.4138 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 61 | Recon Loss : 0.1795 | Codebook : 0.4228 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 62 | Recon Loss : 0.1795 | Codebook : 0.4161 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 63 | Recon Loss : 0.1795 | Codebook : 0.4103 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 64 | Recon Loss : 0.1795 | Codebook : 0.4110 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 65 | Recon Loss : 0.1795 | Codebook : 0.4051 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 66 | Recon Loss : 0.1795 | Codebook : 0.3980 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 67 | Recon Loss : 0.1795 | Codebook : 0.3999 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 68 | Recon Loss : 0.1795 | Codebook : 0.3968 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 69 | Recon Loss : 0.1795 | Codebook : 0.3925 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 70 | Recon Loss : 0.1795 | Codebook : 0.3874 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 71 | Recon Loss : 0.1795 | Codebook : 0.3914 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 72 | Recon Loss : 0.1795 | Codebook : 0.3976 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 73 | Recon Loss : 0.1795 | Codebook : 0.3954 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 74 | Recon Loss : 0.1795 | Codebook : 0.3866 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 75 | Recon Loss : 0.1794 | Codebook : 0.3753 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 76 | Recon Loss : 0.1795 | Codebook : 0.3631 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 77 | Recon Loss : 0.1794 | Codebook : 0.3680 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 78 | Recon Loss : 0.1794 | Codebook : 0.3642 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 79 | Recon Loss : 0.1794 | Codebook : 0.3607 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 80 | Recon Loss : 0.1794 | Codebook : 0.3581 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 81 | Recon Loss : 0.1794 | Codebook : 0.3595 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 82 | Recon Loss : 0.1794 | Codebook : 0.3540 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 83 | Recon Loss : 0.1794 | Codebook : 0.3461 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 84 | Recon Loss : 0.1794 | Codebook : 0.3423 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 85 | Recon Loss : 0.1794 | Codebook : 0.3381 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 86 | Recon Loss : 0.1794 | Codebook : 0.3366 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 87 | Recon Loss : 0.1794 | Codebook : 0.3278 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 88 | Recon Loss : 0.1794 | Codebook : 0.3298 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 89 | Recon Loss : 0.1794 | Codebook : 0.3320 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 90 | Recon Loss : 0.1794 | Codebook : 0.3262 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 91 | Recon Loss : 0.1794 | Codebook : 0.3242 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 92 | Recon Loss : 0.1793 | Codebook : 0.3159 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 93 | Recon Loss : 0.1793 | Codebook : 0.3147 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 94 | Recon Loss : 0.1793 | Codebook : 0.3168 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 95 | Recon Loss : 0.1793 | Codebook : 0.2931 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 96 | Recon Loss : 0.1793 | Codebook : 0.2805 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 97 | Recon Loss : 0.1793 | Codebook : 0.2693 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 98 | Recon Loss : 0.1792 | Codebook : 0.2573 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 99 | Recon Loss : 0.1792 | Codebook : 0.2467 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 100 | Recon Loss : 0.1791 | Codebook : 0.2343 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 101 | Recon Loss : 0.1789 | Codebook : 0.2227 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 102 | Recon Loss : 0.1788 | Codebook : 0.2108 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 103 | Recon Loss : 0.1787 | Codebook : 0.2007 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 104 | Recon Loss : 0.1786 | Codebook : 0.1902 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 105 | Recon Loss : 0.1785 | Codebook : 0.1832 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 106 | Recon Loss : 0.1785 | Codebook : 0.1767 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 107 | Recon Loss : 0.1784 | Codebook : 0.1703 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 108 | Recon Loss : 0.1784 | Codebook : 0.1656 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 109 | Recon Loss : 0.1783 | Codebook : 0.1606 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 110 | Recon Loss : 0.1783 | Codebook : 0.1573 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 111 | Recon Loss : 0.1783 | Codebook : 0.1553 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 112 | Recon Loss : 0.1783 | Codebook : 0.1511 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 113 | Recon Loss : 0.1782 | Codebook : 0.1499 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 114 | Recon Loss : 0.1782 | Codebook : 0.1466 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 115 | Recon Loss : 0.1782 | Codebook : 0.1436 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 116 | Recon Loss : 0.1782 | Codebook : 0.1422 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 117 | Recon Loss : 0.1782 | Codebook : 0.1396 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 118 | Recon Loss : 0.1782 | Codebook : 0.1389 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 119 | Recon Loss : 0.1781 | Codebook : 0.1385 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 120 | Recon Loss : 0.1781 | Codebook : 0.1384 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 121 | Recon Loss : 0.1781 | Codebook : 0.1379 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 122 | Recon Loss : 0.1781 | Codebook : 0.1368 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 123 | Recon Loss : 0.1781 | Codebook : 0.1353 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 124 | Recon Loss : 0.1781 | Codebook : 0.1340 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 125 | Recon Loss : 0.1781 | Codebook : 0.1336 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 126 | Recon Loss : 0.1781 | Codebook : 0.1315 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 127 | Recon Loss : 0.1781 | Codebook : 0.1305 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 128 | Recon Loss : 0.1781 | Codebook : 0.1294 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 129 | Recon Loss : 0.1780 | Codebook : 0.1276 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 130 | Recon Loss : 0.1780 | Codebook : 0.1272 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 131 | Recon Loss : 0.1780 | Codebook : 0.1263 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 132 | Recon Loss : 0.1780 | Codebook : 0.1236 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 133 | Recon Loss : 0.1780 | Codebook : 0.1209 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 134 | Recon Loss : 0.1780 | Codebook : 0.1196 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 135 | Recon Loss : 0.1780 | Codebook : 0.1189 | G Loss : 0.0000 | D Loss 0.0000
