
[Verification] Tokenizing 'A00':
   Tokens: [4]
----------------------------------------
Starting Training (Split Token Strategy)...
Epoch 158 | Loss: 0.0390995659
Epoch 159 | Loss: 0.0390593207
Epoch 160 | Loss: 0.0391096292
Epoch 161 | Loss: 0.0390842045
Epoch 162 | Loss: 0.0390476785
Epoch 163 | Loss: 0.0390448573
Epoch 164 | Loss: 0.0389908760
Epoch 165 | Loss: 0.0389984634
Epoch 166 | Loss: 0.0389789044
Epoch 167 | Loss: 0.0389670995
Epoch 168 | Loss: 0.0389452710
Epoch 169 | Loss: 0.0389320167
Epoch 170 | Loss: 0.0389051662
Epoch 171 | Loss: 0.0388754342
Epoch 172 | Loss: 0.0388799084
Epoch 173 | Loss: 0.0389061029
Epoch 174 | Loss: 0.0389214442
Epoch 175 | Loss: 0.0388727012
Epoch 176 | Loss: 0.0388511140
Epoch 177 | Loss: 0.0388581725
Epoch 178 | Loss: 0.0388231297
Epoch 179 | Loss: 0.0388298299
Epoch 180 | Loss: 0.0388650505
Epoch 181 | Loss: 0.0388363943
Epoch 182 | Loss: 0.0387996732
Epoch 183 | Loss: 0.0388062594
Epoch 184 | Loss: 0.0388499880
Epoch 185 | Loss: 0.0388180092
Epoch 186 | Loss: 0.0388382933
Epoch 187 | Loss: 0.0388471677
Epoch 188 | Loss: 0.0389157726
Epoch 189 | Loss: 0.0391013907
Epoch 190 | Loss: 0.0392948589
Epoch 191 | Loss: 0.0399556284
Epoch 192 | Loss: 0.0417085975
Epoch 193 | Loss: 0.0542264349
Epoch 194 | Loss: 0.1022944012
Epoch 195 | Loss: 0.0871709993
Epoch 196 | Loss: 0.0602754311
Epoch 197 | Loss: 0.0504901315
Epoch 198 | Loss: 0.0459368733
Epoch 199 | Loss: 0.0432809900
Epoch 200 | Loss: 0.0415131280
Epoch 201 | Loss: 0.0405692235
Epoch 202 | Loss: 0.0399253966
Epoch 203 | Loss: 0.0395271020
Epoch 204 | Loss: 0.0393075018
Epoch 205 | Loss: 0.0390805195
Epoch 206 | Loss: 0.0389242634
Epoch 207 | Loss: 0.0388572011
Epoch 208 | Loss: 0.0388507366
Epoch 209 | Loss: 0.0387861592
Epoch 210 | Loss: 0.0387593000
Epoch 211 | Loss: 0.0387305222
Epoch 212 | Loss: 0.0387542289
Epoch 213 | Loss: 0.0387162914
Epoch 214 | Loss: 0.0386791703
Epoch 215 | Loss: 0.0386686294
Epoch 216 | Loss: 0.0386446322
Epoch 217 | Loss: 0.0386781175
Epoch 218 | Loss: 0.0386222889
Epoch 219 | Loss: 0.0386079311
Epoch 220 | Loss: 0.0386408187
Epoch 221 | Loss: 0.0385729252
Epoch 222 | Loss: 0.0385671792
Epoch 223 | Loss: 0.0385646004
Epoch 224 | Loss: 0.0385286567
Epoch 225 | Loss: 0.0385379641
Epoch 226 | Loss: 0.0385502942
Epoch 227 | Loss: 0.0385658405
Epoch 228 | Loss: 0.0385302802
Epoch 229 | Loss: 0.0385551469
Epoch 230 | Loss: 0.0385556910
Epoch 231 | Loss: 0.0385217624
Epoch 232 | Loss: 0.0385375744
Epoch 233 | Loss: 0.0385309118
Epoch 234 | Loss: 0.0385004789
Epoch 235 | Loss: 0.0384995643
Epoch 236 | Loss: 0.0385105609
Epoch 237 | Loss: 0.0384890864
Epoch 238 | Loss: 0.0385112500
Epoch 239 | Loss: 0.0385127848
Epoch 240 | Loss: 0.0385160288
Epoch 241 | Loss: 0.0385599996
Epoch 242 | Loss: 0.0385149803
Epoch 243 | Loss: 0.0384915140
Epoch 244 | Loss: 0.0385078239
Epoch 245 | Loss: 0.0384992672
Epoch 246 | Loss: 0.0385103871
Epoch 247 | Loss: 0.0385085780
Epoch 248 | Loss: 0.0384839201
Epoch 249 | Loss: 0.0385358814
Epoch 250 | Loss: 0.0385804404
Epoch 251 | Loss: 0.0387492755
Epoch 252 | Loss: 0.0389921460
Epoch 253 | Loss: 0.0392704577
Epoch 254 | Loss: 0.0398699743
Epoch 255 | Loss: 0.0427195985
Epoch 256 | Loss: 0.0643019021
Epoch 257 | Loss: 0.0961372401
Epoch 258 | Loss: 0.0699613187
Epoch 259 | Loss: 0.0520870374
Epoch 260 | Loss: 0.0459959064
Epoch 261 | Loss: 0.0429184194
Epoch 262 | Loss: 0.0408666404
Epoch 263 | Loss: 0.0397846724
Epoch 264 | Loss: 0.0392991960
Epoch 265 | Loss: 0.0389829686
Epoch 266 | Loss: 0.0388170800
Epoch 267 | Loss: 0.0386655613
Epoch 268 | Loss: 0.0386066121
Epoch 269 | Loss: 0.0385366525
Epoch 270 | Loss: 0.0384942279
Epoch 271 | Loss: 0.0384857019
Epoch 272 | Loss: 0.0384645198
Epoch 273 | Loss: 0.0384013615
Epoch 274 | Loss: 0.0383992427
Epoch 275 | Loss: 0.0383642432
Epoch 276 | Loss: 0.0384118028
Epoch 277 | Loss: 0.0383708992
Epoch 278 | Loss: 0.0383505254
Epoch 279 | Loss: 0.0383534930
Epoch 280 | Loss: 0.0383545872
Epoch 281 | Loss: 0.0383300543
